,geometry,POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,DATA_ATUALIZACAO,EOL_VERSAO_ID,NOME_EOL,DEN_AEG,X,Y,VERSAO,DATUM_EMP,OPERACAO,FUSO_AG,PROPRIETARIO,ORIGEM,OBJECTID,UF,CEG,lat,long
0,POINT (-42.642494529999965 -14.47096759254284),1.85,121.25,80.0,82.5,1666625847000,30739,Caititu,CAI-083,754125.0,8398879.0,Versão Válida,WGS84,Sim,UTM 23 S (MER -45),Central Eólica Caititu S.A.,,1,BA,EOLCVBA030739-4-01,-14.47096759254284,-42.642494529999965
1,POINT (-35.92446856499998 -5.115753964832131),2.0,145.0,95.0,100.0,1666625847000,30512,Dreen Boa Vista,BV07,175728.0,9433802.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),GE Boa Vista S.A.,,2,RN,EOLCVRN030512-0-01,-5.115753964832131,-35.92446856499998
2,POINT (-35.84437289899995 -5.267423835827237),2.0,145.0,95.0,100.0,1666625847000,30497,Renascença V,15,184692.0,9417056.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Renascença V Energias Renováveis S.A.,,3,RN,EOLCVRN030497-2-01,-5.267423835827237,-35.84437289899995
3,POINT (-35.92329442299995 -5.442081616821537),2.7,150.0,89.0,122.0,1666625847000,30864,SM,1,176028.0,9397684.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Santa Maria Energias Renováveis S.A.,,4,RN,EOLCVRN030864-1-01,-5.442081616821537,-35.92329442299995
4,POINT (-38.87982615699997 -3.540330373883488),2.1,143.7,96.2,95.0,1666625847000,30295,Colônia,AEG-08,513347.87,9608681.26,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Central Geradora Eólica Colônia S.A.,,5,CE,EOLCVCE030295-3-01,-3.540330373883488,-38.87982615699997
5,POINT (-34.97216664199994 -6.576232240784979),0.8,99.6,75.6,48.0,1666625847000,29086,Coelhos I,14,281977.0,9272712.0,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Vale dos Ventos Geradora Eólica S.A,,6,PB,EOLCVPB029086-6-01,-6.576232240784979,-34.97216664199994
6,POINT (-41.042959578999955 -2.9054439279042983),2.1,124.0,80.0,88.0,1666625847000,28631,Praia Formosa,AEG 34,272911.0,9678652.0,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),CPFL Energias Renováveis S.A.,,7,CE,EOLCVCE028631-1-01,-2.9054439279042983,-41.042959578999955
7,POINT (-55.66896247999995 -30.801034310169573),2.0,147.2,97.2,100.0,1666625847000,30756,Cerro Chato VI,8,627337.46,6591690.658,Versão Válida,SIRGAS2000,Sim,UTM 21 S (MER -57),Eólica Cerro Chato VI S.A.,,8,RS,EOLCVRS030756-4-01,-30.801034310169573,-55.66896247999995
8,POINT (-35.82686507699998 -5.369410412823925),1.6,121.0,80.0,82.0,1666625847000,30301,Morro dos Ventos I,AG_09_MV1,186686.02,9405777.69,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Desa Morro dos Ventos I S.A,,9,RN,EOLCVRN030301-1-01,-5.369410412823925,-35.82686507699998
9,POINT (-49.60738827199998 -28.48168539220851),1.5,138.5,100.0,77.0,1666625847000,29051,Púlpito,AEG 12,636318.77498204,6848646.86974571,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Púlpito Energia Eólica S.A.,,10,SC,EOLCVSC029051-3-01,-28.48168539220851,-49.60738827199998
