OBJECTID,POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,DATA_ATUALIZACAO,EOL_VERSAO_ID,NOME_EOL,DEN_AEG,OPERACAO,PROPRIETARIO,UF,LATITUDE,LONGITUDE
1,1.85,121.25,80.0,82.5,2022-10-24 15:37:27,30739,Caititu,CAI-083,True,Central Eólica Caititu S.A.,BA,-14.47096759254284,-42.642494529999965
2,2.0,145.0,95.0,100.0,2022-10-24 15:37:27,30512,Dreen Boa Vista,BV07,True,GE Boa Vista S.A.,RN,-5.115753964832131,-35.92446856499998
3,2.0,145.0,95.0,100.0,2022-10-24 15:37:27,30497,Renascença V,15,True,Renascença V Energias Renováveis S.A.,RN,-5.267423835827237,-35.84437289899995
4,2.7,150.0,89.0,122.0,2022-10-24 15:37:27,30864,SM,True,True,Santa Maria Energias Renováveis S.A.,RN,-5.442081616821537,-35.92329442299995
5,2.1,143.7,96.2,95.0,2022-10-24 15:37:27,30295,Colônia,AEG-08,True,Central Geradora Eólica Colônia S.A.,CE,-3.540330373883488,-38.87982615699997
6,0.8,99.6,75.6,48.0,2022-10-24 15:37:27,29086,Coelhos I,14,True,Vale dos Ventos Geradora Eólica S.A,PB,-6.576232240784979,-34.97216664199994
7,2.1,124.0,80.0,88.0,2022-10-24 15:37:27,28631,Praia Formosa,AEG 34,True,CPFL Energias Renováveis S.A.,CE,-2.9054439279042983,-41.042959578999955
8,2.0,147.2,97.2,100.0,2022-10-24 15:37:27,30756,Cerro Chato VI,8,True,Eólica Cerro Chato VI S.A.,RS,-30.801034310169573,-55.66896247999995
9,1.6,121.0,80.0,82.0,2022-10-24 15:37:27,30301,Morro dos Ventos I,AG_09_MV1,True,Desa Morro dos Ventos I S.A,RN,-5.369410412823925,-35.82686507699998
10,1.5,138.5,100.0,77.0,2022-10-24 15:37:27,29051,Púlpito,AEG 12,True,Púlpito Energia Eólica S.A.,SC,-28.48168539220851,-49.60738827199998
11,2.1,137.5,90.0,95.0,2022-10-24 15:37:27,30332,Faísa III,4,True,Eólica Faísa III Geração e Comercialização de Energia Ltda.,CE,-3.344375172889903,-39.26075033999996
12,2.3,130.5,80.0,101.0,2022-10-24 15:37:27,30672,Costa Branca,CBR-09,True,SPE Costa Branca Energia S.A.,RN,-5.391417572823197,-35.848333631999935
13,0.6,86.6,64.6,44.0,2022-10-24 15:37:27,28793,Água Doce,AEG 2,True,CENAEEL - Central Nacional de Energia Eólica S.A.,SC,-26.59479752224402,-51.68682705499998
14,2.1,121.5,77.5,88.0,2022-10-24 15:37:27,28887,Bons Ventos,NBV-21,True,BVP Geradora de Energia S.A.,CE,-4.445955001853909,-37.75282865899994
15,1.6,121.25,80.0,82.5,2022-10-24 15:37:27,30498,Asa Branca IV,AB-IV05,True,Asa Branca IV Energias Renováveis Ltda.,RN,-5.333263000825108,-35.99512647199998
16,2.3,154.0,108.0,92.0,2022-10-24 15:37:27,30894,Índios 3,DI3-03,True,Ventos dos índios Energia S.A.,RS,-29.97226911418287,-50.32058845599994
17,1.5,138.5,100.0,77.0,2022-10-24 15:37:27,29052,Aquibatã,AEG 2,True,Aquibatã Energia Eólica S.A.,SC,-26.581554611244268,-51.748808372999974
18,1.7,131.5,80.0,103.0,2022-10-24 15:37:27,31344,Caetité A,11,True,Eólica Caetité A S.A.,BA,-14.155444484551982,-42.485578990999954
19,1.6,121.25,80.0,82.5,2022-10-24 15:37:27,30328,Guanambi,GUA_2,True,Centrais Eólicas Guanambi Ltda.,BA,-14.201958208550606,-42.61520855899993
20,2.7,150.0,89.0,122.0,2022-10-24 15:37:27,30864,SM,10,True,Santa Maria Energias Renováveis S.A.,RN,-5.415317523822402,-35.93321725399994
